wavelength flux
0.08005 0.0
0.08015 0.0
0.08025 0.0
0.08035 0.0
0.08045 0.0
0.08055 0.0
0.08065 0.0
0.08075 0.0
0.08085 0.0
0.08095 0.0
0.08105 0.0
0.08115 0.0
0.08125 0.0
0.08135 0.0
0.08145 0.0
0.08155 0.0
0.08165 0.0
0.08175 0.0
0.08185 0.0
0.08195 0.0
0.08205 0.0
0.08215 0.0
0.08225 0.0
0.08235 0.0
0.08245 0.0
0.08255 0.0
0.08265 0.0
0.08275 0.0
0.08285 0.0
0.08295 0.0
0.08305 0.0
0.08315 0.0
0.08325 0.0
0.08335 0.0
0.08345 0.0
0.08355 0.0
0.08365 0.0
0.08375 0.0
0.08385 0.0
0.08395 0.0
0.08405 0.0
0.08415 0.0
0.08425 0.0
0.08435 0.0
0.08445 0.0
0.08455 0.0
0.08465 0.0
0.08475 0.0
0.08485 0.0
0.08495 0.0
0.08505 0.0
0.08515 0.0
0.08525 0.0
0.08535 0.0
0.08545 0.0
0.08555 0.0
0.08565 0.0
0.08575 0.0
0.08585 0.0
0.08595 0.0
0.08605 0.0
0.08615 0.0
0.08625 0.0
0.08635 0.0
0.08645 0.0
0.08655 0.0
0.08665 0.0
0.08675 0.0
0.08685 0.0
0.08695 0.0
0.08705 0.0
0.08715 0.0
0.08725 0.0
0.08735 0.0
0.08745 0.0
0.08755 0.0
0.08765 0.0
0.08775 0.0
0.08785 0.0
0.08795 0.0
0.08805 0.0
0.08815 0.0
0.08825 0.0
0.08835 0.0
0.08845 0.0
0.08855 0.0
0.08865 0.0
0.08875 0.0
0.08885 0.0
0.08895 0.0
0.08905 0.0
0.08915 0.0
0.08925 0.0
0.08935 0.0
0.08945 0.0
0.08955 0.0
0.08965 0.0
0.08975 0.0
0.08985 0.0
0.08995 0.0
0.09005 0.0
0.09015 0.0
0.09025 0.0
0.09035 0.0
0.09045 0.0
0.09055 0.0
0.09065 0.0
0.09075 0.0
0.09085 0.0
0.09095 0.0
0.09105 0.0
0.09115 0.0
0.09125 0.0
0.09135 0.0
0.09145 0.0
0.09155 0.0
0.09165 0.0
0.09175 0.0
0.09185 0.0
0.09195 0.0
0.09205 0.0
0.09215 0.0
0.09225 0.0
0.09235 0.0
0.09245 0.0
0.09255 0.0
0.09265 0.0
0.09275 0.0
0.09285 0.0
0.09295 0.0
0.09305 0.0
0.09315 0.0
0.09325 0.0
0.09335 0.0
0.09345 0.0
0.09355 0.0
0.09365 0.0
0.09375 0.0
0.09385 0.0
0.09395 0.0
0.09405 0.0
0.09415 0.0
0.09425 0.0
0.09435 0.0
0.09445 0.0
0.09455 0.0
0.09465 0.0
0.09475 0.0
0.09485 0.0
0.09495 0.0
0.09505 0.0
0.09515 0.0
0.09525 0.0
0.09535 0.0
0.09545 0.0
0.09555 0.0
0.09565 0.0
0.09575 0.0
0.09585 0.0
0.09595 0.0
0.09605 0.0
0.09615 0.0
0.09625 0.0
0.09635 0.0
0.09645 0.0
0.09655 0.0
0.09665 0.0
0.09675 0.0
0.09685 0.0
0.09695 0.0
0.09705 0.0
0.09715 0.0
0.09725 0.0
0.09735 0.0
0.09745 0.0
0.09755 0.0
0.09765 0.0
0.09775 0.0
0.09785 0.0
0.09795 0.0
0.09805 0.0
0.09815 0.0
0.09825 0.0
0.09835 0.0
0.09845 0.0
0.09855 0.0
0.09865 0.0
0.09875 0.0
0.09885 0.0
0.09895 0.0
0.09905 0.0
0.09915 0.0
0.09925 0.0
0.09935 0.0
0.09945 0.0
0.09955 0.0
0.09965 0.0
0.09975 0.0
0.09985 0.0
0.09995 0.19406470057113592
0.10005 0.01303828955261546
0.10015 0.023810433100244593
0.10025 0.022830763759159118
0.10035 0.018779106485453344
0.10045 0.022287371953120298
0.10055 0.013896112285692838
0.10065 0.02361519886350556
0.10075 0.0189263935293825
0.10085 0.016831149540146823
0.10095 0.019611056294602594
0.10105 0.029602370172806654
0.10115 0.02839213194424886
0.10125 0.033712628222735096
0.10135 0.026886349003913516
0.10145 0.013000203852735783
0.10155 0.027183862288417994
0.10165 0.02730422432936953
0.10175 0.045131451716011864
0.10185 0.035962409555434824
0.10195 0.03804938333350452
0.10205 0.054239864759870166
0.10215 0.07372669965985418
0.10225 0.08125000756290837
0.10235 0.046900472211489436
0.10245 0.04474040754698832
0.10255 0.05730396952382015
0.10265 0.0798049737766088
0.10275 0.09329976567624006
0.10285 0.08581019995134485
0.10295 0.08883924123198061
0.10305 0.08966188885669232
0.10315 0.09998100208959992
0.10325 0.07691365833763743
0.10335 0.10991931239480941
0.10345 0.08982377217391468
0.10355 0.08269900012345392
0.10365 0.081660837727325
0.10375 0.07287508592349444
0.10385 0.05747464873662508
0.10395 0.06791776829071991
0.10405 0.06276064065957462
0.10415 0.07451733372178018
0.10425 0.07266463104204268
0.10435 0.07725597830014744
0.10445 0.07704022009879717
0.10455 0.07428868211299067
0.10465 0.06760020820470142
0.10475 0.07375819707331921
0.10485 0.07096533990102868
0.10495 0.07350745539853833
0.10505 0.06922249639803166
0.10515 0.06529727804879638
0.10525 0.06497224474077293
0.10535 0.06532334858773134
0.10545 0.0634310288753481
0.10555 0.05005935611949868
0.10565 0.043569476178156506
0.10575 0.04305073696671497
0.10585 0.058654002108745454
0.10595 0.07042067781643575
0.10605 0.06896058131538427
0.10615 0.06189225139646846
0.10625 0.0549231963875962
0.10635 0.06477256966762923
0.10645 0.04335413257938031
0.10655 0.04504675594167196
0.10665 0.05319884731714911
0.10675 0.06580900814004369
0.10685 0.06244891656647585
0.10695 0.05295601226676884
0.10705 0.057193376020249244
0.10715 0.04200213699467699
0.10725 0.043659888107781944
0.10735 0.06794029005472269
0.10745 0.05920693611001167
0.10755 0.049118166802174686
0.10765 0.045044913231967645
0.10775 0.04331663928744931
0.10785 0.04576959400927878
0.10795 0.05121689493436989
0.10805 0.06561670702109361
0.10815 0.049876241851785616
0.10825 0.055560679320088006
0.10835 0.05716434565599151
0.10845 0.046816427825818435
0.10855 0.0420821488092436
0.10865 0.05493359061428593
0.10875 0.048940987875328294
0.10885 0.0406321774513276
0.10895 0.03715566604617119
0.10905 0.041149999784132425
0.10915 0.05092243476991261
0.10925 0.052754209202585806
0.10935 0.057444361828341256
0.10945 0.038196824653573096
0.10955 0.03347325407753631
0.10965 0.04789575689220771
0.10975 0.05016912102210818
0.10985 0.03790723826744121
0.10995 0.037584498576637156
0.11005 0.0331775067564737
0.11015 0.04392430256309125
0.11025 0.039379678671731394
0.11035 0.036906230550847186
0.11045 0.018410113679864695
0.11055 0.023276881265274052
0.11065 0.037595380839991976
0.11075 0.04415192900753996
0.11085 0.03640998655548443
0.11095 0.03000763373152647
0.11105 0.04204236383360501
0.11115 0.043614751011402615
0.11125 0.031463791441943494
0.11135 0.024091525761000154
0.11145 0.0439841222348044
0.11155 0.03449813946673175
0.11165 0.027852817402108803
0.11175 0.028310948200226147
0.11185 0.024739773935030757
0.11195 0.04343160645003025
0.11205 0.016957249170338282
0.11215 0.030622531544168594
0.11225 0.023553487846558616
0.11235 0.019658028858169203
0.11245 0.022914912249948707
0.11255 0.023513242703611423
0.11265 0.028920546105286372
0.11275 0.016170389311884775
0.11285 0.03073126566703586
0.11295 0.018953830232336814
0.11305 0.01852450914816517
0.11315 0.028827138561744722
0.11325 0.025382259570207056
0.11335 0.016465455143051658
0.11345 0.021572854688089584
0.11355 0.017993288086361633
0.11365 0.030480619969900112
0.11375 0.029145795575993175
0.11385 0.013652289934394136
0.11395 0.02223334197164973
0.11405 0.03246678727633715
0.11415 0.02691237522726605
0.11425 0.01858287686593547
0.11435 0.01677450032567842
0.11445 0.014335835085369677
0.11455 0.013441573582857061
0.11465 0.018224406559508403
0.11475 0.020185240896179377
0.11485 0.027896018571096595
0.11495 0.011949919441136945
0.11505 0.01859909600273034
0.11515 0.018564588332941844
0.11525 0.022289425816808067
0.11535 0.018950220983887368
0.11545 0.01817074595568518
0.11555 0.013029944747591294
0.11565 0.02831501790111441
0.11575 0.015493281157270573
0.11585 0.016752373824440125
0.11595 0.009849805906450865
0.11605 0.015127939821254459
0.11615 0.015435550537874375
0.11625 0.013832342653876733
0.11635 0.011994939950872164
0.11645 0.014483526501910482
0.11655 0.014179311093730376
0.11665 0.021213824039312358
0.11675 0.011582844026891073
0.11685 0.015691308264592845
0.11695 0.012752299062097646
0.11705 0.015026670722158934
0.11715 0.006861900219930516
0.11725 0.016623925874851224
0.11735 0.014813326578551313
0.11745 0.01192590479984761
0.11755 0.012661015766559485
0.11765 0.012685477529702267
0.11775 0.012730625114581744
0.11785 0.01582324650081276
0.11795 0.018339927871030913
0.11805 0.02069553310546649
0.11815 0.012891877810999224
0.11825 0.009743906944163301
0.11835 0.013834413884818776
0.11845 0.01002825147361518
0.11855 0.005969720016236466
0.11865 0.020961192354560745
0.11875 0.01872939275307703
0.11885 0.024800102085048934
0.11895 0.009106857752319229
0.11905 0.005076771953078989
0.11915 0.017785964010686387
0.11925 0.012015986626446318
0.11935 0.015784078226450966
0.11945 0.024359549944830444
0.11955 0.022022409554890626
0.11965 0.02027942758663873
0.11975 0.02113773942830579
0.11985 0.026736623809571723
0.11995 0.018252090033018628
0.12005 0.032964579116486564
0.12015 0.05525827493276861
0.12025 0.05308876713797895
0.12035 0.05345857781905339
0.12045 0.09465524920586976
0.12055 0.10895294525625035
0.12065 0.14327517083977875
0.12075 0.13649669139737083
0.12085 0.19143931879456058
0.12095 0.23404513107183694
0.12105 0.28534278447423056
0.12115 0.36623057050446467
0.12125 0.456768266345411
0.12135 0.5604572622623737
