#Wavelength Flux FluxErr FluxGeo
 .43263  5.0586  0.0231  5.0984
 .43273  5.0965  0.0231  5.1428
 .43283  5.1003  0.0231  5.1573
 .43293  5.1113  0.0231  5.1791
 .43304  5.1346  0.0232  5.1935
 .43314  5.1942  0.0232  5.2829
 .43324  5.2018  0.0231  5.3224
 .43334  5.2107  0.0232  5.3313
 .43344  5.2829  0.0233  5.4136
 .43354  5.2779  0.0235  5.4261
 .43364  5.2888  0.0235  5.4304
 .43374  5.3553  0.0236  5.5009
 .43384  5.3926  0.0235  5.5571
 .43394  5.4468  0.0237  5.6186
 .43404  5.5116  0.0239  5.6573
 .43414  5.5624  0.0241  5.7003
 .43425  5.5827  0.0242  5.7048
 .43435  5.5599  0.0241  5.6828
 .43445  5.4983  0.0239  5.6410
 .43455  5.4215  0.0237  5.5698
 .43465  5.3459  0.0236  5.5135
 .43475  5.2789  0.0235  5.4601
 .43485  5.2529  0.0233  5.4356
 .43495  5.2301  0.0232  5.4067
 .43505  5.2141  0.0230  5.3761
 .43515  5.2094  0.0229  5.3565
 .43526  5.1917  0.0228  5.3264
 .43536  5.1751  0.0227  5.3107
 .43546  5.1595  0.0227  5.2809
 .43556  5.1710  0.0227  5.3023
 .43566  5.1597  0.0227  5.2811
 .43576  5.1569  0.0227  5.2882
 .43586  5.1515  0.0226  5.3017
 .43596  5.1643  0.0227  5.3257
 .43607  5.1520  0.0228  5.3187
 .43617  5.1184  0.0229  5.2832
 .43627  5.0989  0.0227  5.2281
 .43637  5.1124  0.0226  5.2544
 .43647  5.0827  0.0225  5.2379
 .43657  5.0377  0.0222  5.1593
 .43668  5.0099  0.0220  5.1267
 .43678  4.9251  0.0219  5.0426
 .43688  4.8774  0.0217  4.9745
 .43698  4.8977  0.0217  4.9958
 .43708  4.8496  0.0216  4.9285
 .43718  4.7863  0.0216  4.8507
 .43729  4.7648  0.0215  4.8572
 .43739  4.7456  0.0213  4.8131
 .43749  4.7114  0.0214  4.7775
 .43759  4.6883  0.0213  4.7508
 .43769  4.6761  0.0211  4.7092
 .43779  4.6550  0.0211  4.6896
 .43790  4.6279  0.0211  4.6590
 .43800  4.6335  0.0208  4.6414
 .43810  4.6337  0.0211  4.6534
 .43820  4.5937  0.0211  4.6163
 .43830  4.5626  0.0209  4.5774
 .43841  4.5334  0.0211  4.5530
 .43851  4.5248  0.0210  4.5331
 .43861  4.5162  0.0210  4.5048
 .43871  4.4896  0.0212  4.4987
 .43881  4.4954  0.0211  4.5056
 .43892  4.5051  0.0212  4.5082
 .43902  4.4988  0.0210  4.4950
 .43912  4.4781  0.0211  4.4898
 .43922  4.4558  0.0209  4.4732
 .43932  4.4523  0.0206  4.4644
 .43943  4.4384  0.0207  4.4407
 .43953  4.4334  0.0206  4.4396
 .43963  4.4221  0.0206  4.4264
 .43973  4.4028  0.0206  4.3980
 .43984  4.3939  0.0206  4.3958
 .43994  4.4072  0.0206  4.4095
 .44004  4.4051  0.0205  4.3853
 .44014  4.3890  0.0203  4.3593
 .44025  4.3717  0.0201  4.3577
 .44035  4.3355  0.0202  4.3120
 .44045  4.3313  0.0203  4.2952
 .44055  4.3222  0.0204  4.3074
 .44065  4.3039  0.0204  4.3123
 .44076  4.2796  0.0201  4.2717
 .44086  4.2642  0.0201  4.2439
 .44096  4.2823  0.0202  4.2946
 .44106  4.2670  0.0203  4.2964
 .44117  4.2589  0.0203  4.2468
 .44127  4.2723  0.0203  4.2214
 .44137  4.2857  0.0204  4.2686
 .44148  4.2722  0.0203  4.2521
 .44158  4.2497  0.0202  4.2316
 .44168  4.2574  0.0202  4.2338
 .44178  4.2477  0.0202  4.2336
 .44189  4.2511  0.0201  4.2384
 .44199  4.2321  0.0200  4.2201
 .44209  4.2208  0.0202  4.1905
 .44220  4.2182  0.0203  4.2051
 .44230  4.2079  0.0201  4.2128
 .44240  4.1885  0.0201  4.1700
 .44250  4.1682  0.0199  4.1372
 .44261  4.1784  0.0198  4.1518
 .44271  4.1907  0.0199  4.1797
 .44281  4.1465  0.0198  4.1312
 .44291  4.1352  0.0197  4.1083
 .44302  4.1423  0.0197  4.1196
 .44312  4.1347  0.0198  4.1116
 .44322  4.1376  0.0197  4.0936
 .44333  4.1121  0.0197  4.0736
 .44343  4.0985  0.0197  4.0514
 .44353  4.1126  0.0198  4.0769
 .44364  4.1123  0.0199  4.0624
 .44374  4.1237  0.0199  4.0451
 .44384  4.1301  0.0198  4.0920
 .44395  4.1161  0.0196  4.0654
 .44405  4.1137  0.0197  4.0671
 .44415  4.1163  0.0202  4.0598
 .44426  4.0979  0.0204  4.0410
 .44436  4.1244  0.0204  4.1206
 .44446  4.1276  0.0203  4.1204
 .44457  4.1137  0.0203  4.0764
 .44467  4.1001  0.0202  4.0365
 .44477  4.1312  0.0200  4.0721
 .44488  4.1718  0.0202  4.1238
 .44498  4.1662  0.0202  4.1218
 .44508  4.1470  0.0200  4.1176
 .44519  4.1350  0.0200  4.1107
 .44529  4.1179  0.0199  4.0927
 .44540  4.1380  0.0198  4.1055
 .44550  4.1490  0.0199  4.1139
 .44560  4.1311  0.0200  4.0941
 .44571  4.1157  0.0200  4.0812
 .44581  4.1099  0.0199  4.0576
 .44591  4.1151  0.0198  4.0577
 .44602  4.1330  0.0198  4.0958
 .44612  4.1252  0.0198  4.0896
 .44622  4.1194  0.0198  4.0827
 .44633  4.1198  0.0198  4.0942
 .44643  4.1249  0.0201  4.1055
 .44654  4.1359  0.0202  4.1203
 .44664  4.1451  0.0201  4.1151
 .44674  4.1402  0.0201  4.1072
 .44685  4.1584  0.0201  4.1332
 .44695  4.1693  0.0200  4.1553
 .44705  4.1627  0.0201  4.1479
 .44716  4.1823  0.0203  4.1841
 .44726  4.2123  0.0202  4.2173
 .44737  4.2129  0.0201  4.2066
 .44747  4.2316  0.0202  4.2341
 .44758  4.2222  0.0201  4.2165
 .44768  4.2139  0.0200  4.2015
 .44778  4.1941  0.0201  4.1863
 .44789  4.2061  0.0200  4.2112
 .44799  4.2082  0.0201  4.2251
 .44810  4.1883  0.0202  4.1890
 .44820  4.1729  0.0202  4.1766
 .44830  4.1653  0.0201  4.1781
 .44841  4.1785  0.0202  4.1763
 .44851  4.1884  0.0202  4.1616
 .44862  4.1932  0.0204  4.1824
 .44872  4.1955  0.0206  4.1926
 .44883  4.1970  0.0209  4.1907
 .44893  4.2279  0.0208  4.2525
 .44904  4.2363  0.0206  4.2634
 .44914  4.2226  0.0205  4.2534
 .44924  4.2222  0.0204  4.2604
 .44935  4.2251  0.0204  4.2644
 .44945  4.2522  0.0206  4.2853
 .44956  4.2444  0.0204  4.2675
 .44966  4.2320  0.0202  4.2464
 .44977  4.2316  0.0202  4.2586
 .44987  4.2437  0.0203  4.2778
 .44998  4.2334  0.0205  4.2648
 .45008  4.2574  0.0204  4.2860
 .45019  4.2556  0.0205  4.2953
 .45029  4.2567  0.0205  4.2867
 .45040  4.2661  0.0205  4.2939
 .45050  4.2974  0.0204  4.3410
 .45060  4.3234  0.0204  4.3598
 .45071  4.3257  0.0204  4.3510
 .45081  4.3281  0.0203  4.3583
 .45092  4.3236  0.0205  4.3673
 .45102  4.3297  0.0204  4.3814
 .45113  4.3180  0.0204  4.3639
 .45123  4.3160  0.0204  4.3722
 .45134  4.3410  0.0205  4.4020
 .45144  4.3438  0.0207  4.4060
 .45155  4.3546  0.0207  4.4162
 .45165  4.3483  0.0205  4.3979
 .45176  4.3374  0.0205  4.4026
 .45186  4.3355  0.0204  4.4057
 .45197  4.3382  0.0206  4.3781
 .45208  4.3364  0.0205  4.3939
 .45218  4.3352  0.0205  4.4046
 .45229  4.3157  0.0204  4.3673
 .45239  4.3281  0.0203  4.3720
 .45250  4.3544  0.0204  4.4151
 .45260  4.3499  0.0204  4.3967
 .45271  4.3449  0.0203  4.3860
 .45281  4.3209  0.0202  4.3620
 .45292  4.2994  0.0204  4.3347
 .45302  4.3072  0.0207  4.3553
 .45313  4.2893  0.0205  4.3418
 .45323  4.2863  0.0203  4.3462
 .45334  4.2734  0.0201  4.3231
 .45344  4.3019  0.0201  4.3461
 .45355  4.3116  0.0201  4.3505
 .45365  4.2926  0.0202  4.3256
 .45376  4.2866  0.0202  4.3304
 .45387  4.2995  0.0204  4.3420
 .45397  4.3259  0.0203  4.3740
 .45408  4.3278  0.0202  4.3755
 .45418  4.3282  0.0201  4.3887
 .45429  4.3237  0.0200  4.3747
 .45439  4.3151  0.0201  4.3480
 .45450  4.3089  0.0202  4.3372
 .45460  4.3214  0.0202  4.3646
 .45471  4.3429  0.0203  4.3923
 .45482  4.3252  0.0202  4.3699
 .45492  4.2931  0.0201  4.3352
 .45503  4.2955  0.0202  4.3342
 .45513  4.3065  0.0204  4.3539
 .45524  4.2998  0.0203  4.3520
 .45535  4.2853  0.0202  4.3118
 .45545  4.2812  0.0200  4.3040
 .45556  4.3202  0.0200  4.3664
 .45566  4.3129  0.0200  4.3605
 .45577  4.2832  0.0198  4.3142
 .45588  4.2876  0.0199  4.3368
 .45598  4.3285  0.0201  4.3881
 .45609  4.3400  0.0201  4.3987
 .45619  4.3408  0.0200  4.3911
 .45630  4.3343  0.0200  4.3792
 .45641  4.3114  0.0200  4.3509
 .45651  4.2983  0.0200  4.3343
 .45662  4.3021  0.0200  4.3444
 .45672  4.2984  0.0199  4.3517
 .45683  4.2912  0.0198  4.3395
 .45694  4.2928  0.0197  4.3313
 .45704  4.2887  0.0198  4.3332
 .45715  4.2938  0.0199  4.3394
 .45726  4.2943  0.0198  4.3385
 .45736  4.2748  0.0197  4.3291
 .45747  4.2496  0.0197  4.3077
 .45758  4.2473  0.0199  4.3035
 .45768  4.2561  0.0198  4.3128
 .45779  4.2336  0.0197  4.2965
 .45790  4.1993  0.0198  4.2846
 .45800  4.2147  0.0199  4.3371
 .45811  4.2188  0.0199  4.2036
 .45821  4.2150  0.0199  4.2809
 .45832  4.2338  0.0199  4.2162
 .45843  4.2759  0.0200  4.3820
 .45853  4.2449  0.0198  4.2936
 .45864  4.2291  0.0195  4.2725
 .45875  4.2279  0.0194  4.2741
 .45885  4.2273  0.0192  4.2699
 .45896  4.2180  0.0192  4.2628
 .45907  4.2143  0.0193  4.2704
 .45918  4.2286  0.0196  4.2998
 .45928  4.2270  0.0198  4.2658
 .45939  4.2090  0.0199  4.1628
 .45950  4.1852  0.0201  4.1393
 .45960  4.1522  0.0201  4.1922
 .45971  4.1498  0.0199  4.1979
 .45982  4.1408  0.0195  4.1876
 .45992  4.1391  0.0193  4.1956
 .46003  4.1274  0.0194  4.1815
 .46014  4.0971  0.0193  4.1428
 .46024  4.1104  0.0190  4.1472
 .46035  4.0960  0.0191  4.1391
 .46046  4.0789  0.0190  4.1339
 .46056  4.0731  0.0193  4.1116
 .46067  4.0557  0.0194  4.0636
 .46078  4.0536  0.0194  4.0923
 .46089  4.0538  0.0193  4.1118
 .46099  4.0468  0.0193  4.0878
 .46110  4.0413  0.0194  4.0864
 .46121  4.0572  0.0192  4.1412
 .46132  4.0620  0.0191  4.1283
 .46142  4.0751  0.0192  4.1159
 .46153  4.0758  0.0194  4.1176
 .46164  4.0788  0.0191  4.1167
 .46175  4.0826  0.0190  4.1285
 .46185  4.0768  0.0191  4.1115
 .46196  4.0767  0.0191  4.1113
 .46207  4.0639  0.0191  4.1062
 .46218  4.0575  0.0194  4.1004
 .46228  4.1251  0.0195  4.1687
 .46239  4.1320  0.0192  4.1731
 .46250  4.1011  0.0191  4.1434
 .46260  4.0821  0.0191  4.1210
 .46271  4.1123  0.0191  4.1422
 .46282  4.1334  0.0190  4.1694
 .46293  4.1112  0.0190  4.1560
 .46304  4.0922  0.0191  4.1313
 .46314  4.1100  0.0191  4.1575
 .46325  4.1078  0.0191  4.1538
 .46336  4.1066  0.0189  4.1430
 .46347  4.1150  0.0188  4.1296
 .46358  4.0821  0.0187  4.0915
 .46368  4.1003  0.0188  4.1135
 .46379  4.0790  0.0189  4.1185
 .46390  4.0668  0.0189  4.0962
 .46401  4.0747  0.0191  4.0846
 .46411  4.0630  0.0192  4.0805
 .46422  4.0429  0.0192  4.0501
 .46433  4.0234  0.0189  4.0390
 .46444  4.0116  0.0187  4.0359
 .46455  4.0133  0.0186  4.0608
 .46465  3.9861  0.0186  4.0283
 .46476  3.9798  0.0185  4.0180
 .46487  3.9833  0.0185  4.0111
 .46498  3.9867  0.0186  4.0167
 .46509  3.9781  0.0186  4.0127
 .46520  3.9620  0.0186  3.9860
 .46530  3.9535  0.0185  3.9796
 .46541  3.9444  0.0184  3.9709
 .46552  3.9407  0.0184  3.9774
 .46563  3.9273  0.0184  3.9581
 .46574  3.9144  0.0184  3.9225
 .46584  3.9287  0.0184  3.9191
 .46595  3.9321  0.0183  3.9332
 .46606  3.9294  0.0183  3.9432
 .46617  3.9344  0.0183  3.9562
 .46628  3.9181  0.0183  3.9386
 .46639  3.9104  0.0183  3.9244
 .46650  3.9211  0.0183  3.9440
 .46660  3.9066  0.0183  3.9219
 .46671  3.8974  0.0184  3.9051
 .46682  3.9019  0.0185  3.9237
 .46693  3.9031  0.0185  3.9271
 .46704  3.8952  0.0183  3.9024
 .46715  3.9133  0.0183  3.9416
 .46725  3.9146  0.0184  3.9232
 .46736  3.9003  0.0185  3.8934
 .46747  3.8970  0.0185  3.9041
 .46758  3.8925  0.0185  3.9017
 .46769  3.9098  0.0186  3.9268
 .46780  3.9235  0.0185  3.9279
 .46791  3.8993  0.0185  3.9031
 .46802  3.8741  0.0184  3.8722
 .46812  3.9123  0.0184  3.9144
 .46823  3.9041  0.0184  3.9137
 .46834  3.9005  0.0181  3.9155
 .46845  3.9165  0.0182  3.9334
 .46856  3.9229  0.0183  3.9288
 .46867  3.9448  0.0183  3.9411
 .46878  3.9595  0.0182  3.9461
 .46889  3.9344  0.0184  3.9200
 .46900  3.8930  0.0184  3.8808
 .46911  3.8415  0.0183  3.8274
 .46921  3.8074  0.0180  3.7946
 .46932  3.7791  0.0179  3.7724
 .46943  3.7643  0.0179  3.7456
 .46954  3.7459  0.0177  3.7284
 .46965  3.7372  0.0176  3.7260
 .46976  3.7348  0.0177  3.7168
 .46987  3.7277  0.0177  3.7110
 .46998  3.7267  0.0178  3.7216
 .47009  3.7034  0.0177  3.6955
 .47020  3.7018  0.0176  3.6713
 .47031  3.6966  0.0178  3.6759
 .47042  3.7027  0.0177  3.6739
 .47053  3.6912  0.0179  3.6653
 .47064  3.6868  0.0180  3.6734
 .47075  3.6847  0.0181  3.6722
 .47085  3.6783  0.0180  3.6574
 .47096  3.6766  0.0178  3.6644
 .47107  3.6756  0.0177  3.6530
 .47118  3.6837  0.0177  3.6646
 .47129  3.6723  0.0177  3.6566
 .47140  3.6674  0.0178  3.6535
 .47151  3.6785  0.0176  3.6605
 .47162  3.6833  0.0176  3.6561
 .47173  3.6836  0.0175  3.6617
 .47184  3.7010  0.0177  3.6850
 .47195  3.6717  0.0178  3.6488
 .47206  3.6622  0.0175  3.6432
 .47217  3.6754  0.0174  3.6563
 .47228  3.6590  0.0174  3.6319
 .47239  3.6715  0.0175  3.6511
 .47250  3.6746  0.0176  3.6669
 .47261  3.6626  0.0175  3.6410
 .47272  3.6412  0.0174  3.6040
 .47283  3.6340  0.0176  3.6012
 .47294  3.6279  0.0177  3.5737
 .47305  3.6395  0.0177  3.5592
 .47316  3.6346  0.0178  3.5907
 .47327  3.6550  0.0178  3.6445
 .47338  3.6429  0.0176  3.6155
 .47349  3.6403  0.0176  3.6145
 .47360  3.6384  0.0176  3.6049
 .47371  3.6591  0.0178  3.6151
 .47382  3.6439  0.0176  3.5950
 .47393  3.6393  0.0177  3.6125
 .47404  3.6681  0.0177  3.6473
 .47415  3.6670  0.0176  3.6286
 .47426  3.6411  0.0174  3.6074
 .47437  3.6576  0.0175  3.6245
 .47448  3.6368  0.0177  3.6426
 .47459  3.5826  0.0176  3.5493
 .47470  3.5926  0.0175  3.5267
 .47481  3.6079  0.0175  3.5809
 .47492  3.6187  0.0177  3.5892
 .47504  3.6064  0.0177  3.5807
 .47515  3.5985  0.0177  3.5875
 .47526  3.5897  0.0176  3.5782
 .47537  3.5670  0.0175  3.5499
 .47548  3.5742  0.0175  3.5469
 .47559  3.5819  0.0176  3.5604
 .47570  3.6104  0.0177  3.5884
 .47581  3.6172  0.0179  3.5836
 .47592  3.5999  0.0179  3.5747
 .47603  3.6017  0.0178  3.5683
 .47614  3.6036  0.0177  3.5693
 .47625  3.6071  0.0177  3.5709
 .47636  3.5937  0.0176  3.5651
 .47647  3.6096  0.0176  3.5871
 .47659  3.6117  0.0175  3.5664
 .47670  3.6142  0.0174  3.5659
 .47681  3.6179  0.0174  3.5821
 .47692  3.6075  0.0176  3.5701
 .47703  3.5952  0.0175  3.5579
 .47714  3.5908  0.0175  3.5547
 .47725  3.6115  0.0177  3.5802
 .47736  3.6186  0.0179  3.5981
 .47747  3.6340  0.0179  3.6160
 .47758  3.6472  0.0178  3.6281
 .47770  3.6466  0.0175  3.6219
 .47781  3.6675  0.0178  3.6511
 .47792  3.6779  0.0179  3.6599
 .47803  3.6781  0.0179  3.6514
 .47814  3.6785  0.0178  3.6462
 .47825  3.6727  0.0177  3.6480
 .47836  3.6787  0.0177  3.6576
 .47847  3.6885  0.0177  3.6778
 .47858  3.6761  0.0179  3.6662
 .47870  3.6958  0.0179  3.6877
 .47881  3.7031  0.0182  3.7061
 .47892  3.7073  0.0183  3.6964
 .47903  3.7175  0.0183  3.6959
 .47914  3.7258  0.0181  3.7101
 .47925  3.7601  0.0180  3.7678
 .47936  3.7514  0.0177  3.7567
 .47948  3.7765  0.0181  3.7789
 .47959  3.8116  0.0183  3.8196
 .47970  3.7944  0.0184  3.8040
 .47981  3.8236  0.0184  3.8310
 .47992  3.8449  0.0182  3.8658
 .48003  3.8432  0.0180  3.8653
 .48015  3.8387  0.0181  3.8658
 .48026  3.8877  0.0183  3.9272
 .48037  3.8784  0.0182  3.9176
 .48048  3.8697  0.0183  3.9026
 .48059  3.9292  0.0184  3.9579
 .48070  3.9451  0.0184  3.9764
 .48082  3.9684  0.0184  4.0131
 .48093  3.9863  0.0185  4.0424
 .48104  4.0018  0.0186  4.0520
 .48115  4.0122  0.0188  4.0511
 .48126  4.0444  0.0189  4.0999
 .48138  4.0814  0.0188  4.1390
 .48149  4.0915  0.0190  4.1712
 .48160  4.1224  0.0192  4.1888
 .48171  4.1506  0.0193  4.2005
 .48182  4.1556  0.0194  4.2270
 .48194  4.1998  0.0194  4.2661
 .48205  4.2521  0.0194  4.3197
 .48216  4.2687  0.0194  4.3457
 .48227  4.2747  0.0193  4.3807
 .48238  4.2919  0.0193  4.4236
 .48250  4.3157  0.0195  4.4419
 .48261  4.3610  0.0195  4.4914
 .48272  4.3873  0.0197  4.5166
 .48283  4.4324  0.0197  4.5580
 .48295  4.4671  0.0197  4.5988
 .48306  4.4806  0.0198  4.6347
 .48317  4.5437  0.0200  4.7061
 .48328  4.6027  0.0200  4.7654
 .48340  4.6171  0.0203  4.8052
 .48351  4.6549  0.0202  4.8339
 .48362  4.7298  0.0202  4.9076
 .48373  4.8017  0.0204  4.9901
 .48385  4.8654  0.0207  5.0788
 .48396  4.8744  0.0209  5.0906
 .48407  4.9401  0.0212  5.1293
 .48418  5.0287  0.0214  5.2475
 .48430  5.1034  0.0215  5.3538
 .48441  5.1489  0.0216  5.3772
 .48452  5.2036  0.0218  5.4606
 .48463  5.3236  0.0220  5.5866
 .48475  5.3741  0.0221  5.6258
 .48486  5.4304  0.0222  5.7136
 .48497  5.5037  0.0224  5.8080
 .48508  5.5483  0.0226  5.8665
 .48520  5.5869  0.0226  5.9281
 .48531  5.6327  0.0228  5.9905
 .48542  5.7417  0.0231  6.1109
 .48554  5.7848  0.0232  6.2039
 .48565  5.8058  0.0233  6.2583
 .48576  5.8842  0.0236  6.3559
 .48588  5.9742  0.0239  6.4760
 .48599  6.0988  0.0242  6.5942
 .48610  6.2002  0.0244  6.7036
 .48621  6.3093  0.0247  6.7924
 .48633  6.3824  0.0249  6.8290
 .48644  6.3827  0.0249  6.7983
 .48655  6.3283  0.0248  6.7174
 .48667  6.1693  0.0244  6.5582
 .48678  5.9788  0.0239  6.3894
 .48689  5.7988  0.0234  6.2434
 .48701  5.6899  0.0230  6.1469
 .48712  5.6141  0.0227  6.0423
 .48723  5.5393  0.0224  5.9426
 .48735  5.4823  0.0222  5.8672
 .48746  5.4563  0.0221  5.8188
 .48757  5.4061  0.0220  5.7423
 .48769  5.3461  0.0219  5.6558
 .48780  5.2844  0.0216  5.5925
 .48791  5.2291  0.0215  5.5134
 .48803  5.1810  0.0213  5.4426
 .48814  5.1140  0.0211  5.3664
 .48825  5.0827  0.0210  5.3382
 .48837  5.0602  0.0210  5.3265
 .48848  4.9730  0.0210  5.2330
 .48860  4.8989  0.0209  5.1493
 .48871  4.8789  0.0206  5.1076
 .48882  4.8551  0.0204  5.0786
 .48894  4.8002  0.0202  5.0252
 .48905  4.7597  0.0200  4.9619
 .48916  4.7161  0.0200  4.9141
 .48928  4.6771  0.0199  4.8813
 .48939  4.6351  0.0198  4.8337
 .48950  4.6176  0.0197  4.8044
 .48962  4.5938  0.0197  4.7822
 .48973  4.5521  0.0196  4.7463
 .48985  4.5310  0.0195  4.7084
 .48996  4.4920  0.0194  4.6529
 .49007  4.4758  0.0195  4.6485
 .49019  4.4618  0.0195  4.6130
 .49030  4.4177  0.0193  4.5521
 .49042  4.3741  0.0191  4.5024
 .49053  4.3647  0.0191  4.4958
 .49064  4.3357  0.0189  4.4614
 .49076  4.3072  0.0188  4.4346
 .49087  4.2986  0.0189  4.4285
 .49099  4.2824  0.0189  4.4143
 .49110  4.2514  0.0189  4.3724
 .49121  4.2386  0.0188  4.3554
 .49133  4.2276  0.0189  4.3427
 .49144  4.2010  0.0190  4.2898
 .49156  4.1860  0.0189  4.2801
 .49167  4.2008  0.0190  4.3170
 .49179  4.2034  0.0190  4.3066
 .49190  4.1813  0.0186  4.2698
 .49202  4.1502  0.0183  4.2419
 .49213  4.1416  0.0186  4.2166
 .49225  4.1383  0.0187  4.2049
 .49236  4.1349  0.0185  4.2037
 .49247  4.1173  0.0184  4.1835
 .49259  4.1148  0.0183  4.1812
 .49270  4.1051  0.0185  4.1737
 .49282  4.0922  0.0186  4.1568
 .49293  4.1082  0.0186  4.1735
 .49305  4.0990  0.0183  4.1593
 .49316  4.0855  0.0181  4.1497
 .49328  4.0698  0.0182  4.1363
 .49339  4.0342  0.0181  4.0867
 .49351  4.0401  0.0180  4.0732
 .49362  4.0117  0.0179  4.0430
 .49374  3.9945  0.0178  4.0233
 .49385  3.9994  0.0182  4.0238
 .49396  3.9770  0.0182  3.9945
 .49408  3.9589  0.0181  3.9758
 .49420  3.9639  0.0180  3.9835
 .49431  3.9571  0.0179  3.9711
 .49442  3.9655  0.0179  3.9760
 .49454  3.9770  0.0180  3.9923
 .49465  3.9798  0.0180  3.9975
 .49477  3.9824  0.0180  3.9956
 .49489  3.9880  0.0180  3.9913
 .49500  4.0070  0.0180  4.0144
 .49511  4.0685  0.0182  4.0943
 .49523  4.1172  0.0182  4.1591
 .49535  4.1672  0.0184  4.2288
 .49546  4.2513  0.0186  4.3488
 .49558  4.3552  0.0190  4.4969
 .49569  4.5024  0.0195  4.6905
 .49581  4.6833  0.0201  4.9407
 .49592  4.8175  0.0206  5.1219
 .49604  4.9483  0.0209  5.2426
 .49615  4.9877  0.0210  5.1657
 .49627  4.8296  0.0208  4.9385
 .49638  4.5349  0.0197  4.5846
 .49650  4.2627  0.0189  4.2689
 .49661  4.0603  0.0181  4.0557
 .49673  3.8973  0.0176  3.9024
 .49685  3.7811  0.0171  3.7988
 .49696  3.7161  0.0170  3.7150
 .49708  3.6880  0.0169  3.6866
 .49719  3.6633  0.0168  3.6621
 .49731  3.6381  0.0167  3.6357
 .49742  3.6362  0.0166  3.6337
 .49754  3.6305  0.0165  3.6275
 .49765  3.6223  0.0165  3.6189
 .49777  3.6186  0.0166  3.6149
 .49789  3.6192  0.0166  3.6269
 .49800  3.6283  0.0167  3.6315
 .49812  3.6286  0.0169  3.6373
 .49824  3.6296  0.0169  3.6371
 .49835  3.6557  0.0171  3.6044
 .49847  3.7031  0.0172  3.6706
 .49858  3.7205  0.0171  3.7348
 .49870  3.7260  0.0169  3.7348
 .49881  3.7775  0.0170  3.7839
 .49893  3.8318  0.0172  3.8508
 .49905  3.8817  0.0173  3.8996
 .49916  3.9092  0.0174  3.9212
 .49928  3.9593  0.0175  3.9667
 .49940  4.0421  0.0177  4.0614
 .49951  4.0998  0.0179  4.1310
 .49963  4.1995  0.0183  4.2287
 .49974  4.2951  0.0186  4.3308
 .49986  4.4069  0.0189  4.4780
 .49998  4.5400  0.0192  4.6494
 .50009  4.7183  0.0196  4.9011
 .50021  4.9276  0.0203  5.2289
 .50032  5.2158  0.0209  5.6695
 .50044  5.5595  0.0219  6.2172
 .50056  5.9391  0.0232  6.8384
 .50067  6.2964  0.0244  7.4801
 .50079  6.4918  0.0254  7.9043
 .50091  6.5755  0.0256  7.9311
 .50102  6.4822  0.0251  7.5371
 .50114  6.0879  0.0238  6.7563
 .50126  5.4951  0.0222  5.8587
 .50137  4.9857  0.0205  5.1432
 .50149  4.5762  0.0192  4.6672
 .50161  4.2528  0.0181  4.3346
 .50172  4.0404  0.0175  4.1132
 .50184  3.9190  0.0170  3.9736
 .50196  3.8426  0.0167  3.8841
 .50207  3.7893  0.0166  3.8434
 .50219  3.7277  0.0164  3.7836
 .50231  3.7100  0.0163  3.7658
 .50242  3.6780  0.0163  3.7292
 .50254  3.6632  0.0162  3.7104
 .50266  3.6462  0.0162  3.6825
 .50278  3.6185  0.0160  3.6512
 .50289  3.6006  0.0160  3.6397
 .50301  3.5705  0.0160  3.6050
 .50313  3.5483  0.0160  3.5825
 .50324  3.5364  0.0159  3.5875
 .50336  3.5106  0.0160  3.5304
 .50348  3.4865  0.0159  3.5248
 .50359  3.4993  0.0157  3.5438
 .50371  3.5150  0.0155  3.5539
 .50383  3.4756  0.0154  3.5208
 .50395  3.4471  0.0155  3.4791
 .50406  3.4520  0.0154  3.4687
 .50418  3.4340  0.0153  3.4603
 .50430  3.4089  0.0154  3.4367
 .50441  3.4089  0.0153  3.4204
 .50453  3.3831  0.0153  3.3951
 .50465  3.3701  0.0153  3.3931
 .50477  3.3732  0.0153  3.4019
 .50488  3.3649  0.0152  3.3911
 .50500  3.3581  0.0150  3.3880
 .50512  3.3348  0.0150  3.3602
 .50524  3.3385  0.0149  3.3619
 .50535  3.3258  0.0148  3.3472
 .50547  3.3186  0.0149  3.3360
 .50559  3.3197  0.0149  3.3257
 .50571  3.3068  0.0149  3.3228
 .50582  3.3049  0.0149  3.3205
 .50594  3.2729  0.0149  3.2672
 .50606  3.2697  0.0148  3.2745
 .50618  3.2904  0.0149  3.2957
 .50630  3.2830  0.0149  3.2882
 .50641  3.2844  0.0148  3.2966
 .50653  3.2628  0.0148  3.2785
 .50665  3.2439  0.0148  3.2536
 .50677  3.2249  0.0148  3.2251
 .50688  3.2164  0.0148  3.2168
 .50700  3.2139  0.0147  3.2135
 .50712  3.2164  0.0146  3.2193
 .50724  3.2015  0.0145  3.2085
 .50736  3.1744  0.0144  3.1836
 .50747  3.1359  0.0143  3.1524
 .50759  3.1309  0.0142  3.1457
 .50771  3.1488  0.0142  3.1655
 .50783  3.1697  0.0143  3.1874
 .50795  3.1646  0.0143  3.1644
 .50806  3.1547  0.0143  3.1369
 .50818  3.1426  0.0143  3.1312
 .50830  3.1474  0.0144  3.1453
 .50842  3.1401  0.0143  3.1274
 .50854  3.1284  0.0142  3.1198
 .50866  3.1414  0.0142  3.1432
 .50877  3.1237  0.0141  3.1177
