#Wavelength Flux FluxErr FluxGeo
 .28650 10.4219  0.1022 10.1407
 .28656 10.2598  0.1009  9.9905
 .28663 10.1669  0.1007  9.8206
 .28670 10.2527  0.1007 10.0379
 .28676 10.0139  0.0994  9.8585
 .28683  9.7987  0.0983  6.7038
 .28690  9.8762  0.0986 10.0310
 .28696 10.1249  0.0992 10.2172
 .28703 10.2252  0.0998 10.2050
 .28710 10.1896  0.0996 10.1424
 .28717 10.2915  0.1001 10.2341
 .28723 10.2708  0.0999 10.2885
 .28730 10.0869  0.0993 10.1204
 .28737 10.1377  0.0995 10.0375
 .28743 10.3394  0.1001 10.2750
 .28750 10.2464  0.0996 10.1885
 .28757 10.1659  0.0991  9.9915
 .28763 10.0836  0.0986  9.9379
 .28770 10.0997  0.0984 10.1798
 .28777 10.0415  0.0980  9.9800
 .28783  9.9322  0.0973  9.8623
 .28790  9.9472  0.0976  9.8829
 .28797  9.9460  0.0974  9.7747
 .28804  9.9061  0.0971  9.7351
 .28810  9.9220  0.0967  9.7694
 .28817  9.8950  0.0967  9.7595
 .28824  9.8600  0.0963  9.6743
 .28830  9.8215  0.0957  9.7141
 .28837  9.8504  0.0956  9.7762
 .28844  9.8306  0.0956  9.6940
 .28851  9.7918  0.0960  9.6253
 .28857  9.8010  0.0967  9.7326
 .28864  9.8268  0.0964  9.8185
 .28871  9.7978  0.0955  9.7796
 .28877  9.8424  0.0952  9.8329
 .28884  9.8655  0.0955  9.8469
 .28891  9.8108  0.0949  9.7400
 .28898  9.7716  0.0942  9.6925
 .28904  9.6915  0.0938  9.5878
 .28911  9.7734  0.0938  9.7405
 .28918  9.7208  0.0930  9.7585
 .28924  9.5393  0.0918  9.5884
 .28931  9.4816  0.0913  9.5027
 .28938  9.4545  0.0912  9.4726
 .28945  9.4419  0.0913  9.4333
 .28951  9.4788  0.0916  9.3366
 .28958  9.5161  0.0919  9.3254
 .28965  9.5267  0.0925  9.3765
 .28971  9.5566  0.0925  9.5600
 .28978  9.5500  0.0922  9.5479
 .28985  9.5352  0.0922  9.3748
 .28992  9.5452  0.0922  9.4432
 .28999  9.5365  0.0919  9.5531
 .29005  9.5678  0.0920  9.5608
 .29012  9.5675  0.0923  9.4489
 .29019  9.5673  0.0922  9.4879
 .29026  9.5150  0.0919  9.3466
 .29032  9.4432  0.0915  9.3444
 .29039  9.4553  0.0914  9.2855
 .29046  9.3848  0.0910  9.0409
 .29052  9.3106  0.0905  8.9829
 .29059  9.3967  0.0905  9.2365
 .29066  9.5140  0.0911  9.4511
 .29073  9.4015  0.0904  9.4368
 .29079  9.3244  0.0900  9.3862
 .29086  9.2992  0.0900  9.1986
 .29093  9.2827  0.0899  9.0287
 .29100  9.3379  0.0900  9.1138
 .29107  9.2600  0.0896  8.8898
 .29113  9.3877  0.0898  9.2363
 .29120  9.3470  0.0894  9.2918
 .29127  9.2837  0.0891  9.2592
 .29134  9.2119  0.0883  9.1915
 .29140  9.1276  0.0882  8.9588
 .29147  9.2767  0.0881  9.2692
 .29154  9.0912  0.0876  9.0216
 .29161  9.2547  0.0882  9.1381
 .29168  9.3092  0.0883  9.4011
 .29174  9.2865  0.0885  9.3245
 .29181  9.2636  0.0881  9.2935
 .29188  9.1985  0.0879  9.3270
 .29195  9.3605  0.0883  9.4647
 .29201  9.2404  0.0883  9.1703
 .29208  9.2486  0.0880  9.2213
 .29215  9.3457  0.0882  9.4501
 .29222  9.3264  0.0876  9.4233
 .29229  9.2517  0.0875  9.3924
 .29236  9.1770  0.0871  9.2830
 .29242  9.3456  0.0878  9.3238
 .29249  9.3212  0.0877  8.0178
 .29256  9.3338  0.0874  9.4169
 .29263  9.3902  0.0876  9.4817
 .29269  9.3187  0.0872  9.4164
 .29276  9.3059  0.0871  9.3806
 .29283  9.2604  0.0866  9.3951
 .29290  9.3646  0.0869  9.3224
 .29297  9.3972  0.0870  9.5031
 .29304  9.3808  0.0871  9.5467
 .29310  9.4080  0.0872  9.6368
 .29317  9.2550  0.0870  9.5659
 .29324  9.3077  0.0871  9.6519
 .29331  9.3011  0.0867  9.6385
 .29338  9.3375  0.0869  9.1397
 .29344  9.3535  0.0865  9.4486
 .29351  9.3511  0.0864  9.5062
 .29358  9.4434  0.0865  9.6907
 .29365  9.3201  0.0861  9.5848
