#Wavelength Flux Fluxerr
.10325  7.363 0.360
.10335  7.352 0.453
.10345  8.084 0.449
.10355  7.527 0.493
.10365  8.154 0.424
.10375  7.217 0.462
.10385  6.886 0.377
.10395  7.060 0.410
.10405  6.762 0.340
.10415  5.929 0.360
.10425  6.227 0.330
.10435  6.005 0.364
.10445  5.753 0.331
.10455  5.689 0.361
.10465  5.723 0.323
.10475  6.121 0.299
.10485  5.720 0.300
.10495  5.827 0.250
.10505  5.394 0.278
.10515  6.079 0.295
.10525  5.334 0.309
.10535  5.667 0.316
.10545  5.132 0.254
.10555  5.224 0.311
.10565  5.582 0.296
.10575  5.419 0.281
.10585  5.897 0.264
.10595  6.076 0.308
.10605  5.483 0.286
.10615  5.522 0.299
.10625  5.410 0.292
.10635  5.955 0.266
.10645  5.786 0.309
.10655  4.603 0.314
.10665  6.043 0.322
.10675  5.571 0.312
.10685  5.740 0.250
.10695  5.289 0.291
.10705  5.215 0.305
.10715  5.336 0.290
.10725  4.976 0.309
.10735  5.295 0.282
.10745  5.306 0.312
.10755  5.418 0.320
.10765  4.818 0.314
.10775  5.209 0.282
.10785  5.702 0.255
.10795  5.263 0.248
.10805  4.895 0.261
.10815  4.737 0.258
.10825  5.080 0.248
.10835  4.752 0.237
.10845  4.927 0.291
.10855  4.840 0.275
.10865  4.676 0.272
.10875  4.168 0.266
.10885  4.795 0.247
.10895  4.800 0.286
.10905  4.485 0.251
.10915  4.479 0.202
.10925  4.606 0.227
.10935  4.618 0.247
.10945  4.663 0.238
.10955  4.761 0.256
.10965  4.493 0.253
.10975  4.453 0.232
.10985  4.377 0.250
.10995  4.115 0.250
.11005  4.170 0.262
.11015  4.562 0.207
.11025  4.375 0.256
.11035  4.829 0.266
.11045  5.173 0.218
.11055  4.995 0.247
.11065  4.894 0.225
.11075  4.935 0.222
.11085  5.016 0.246
.11095  4.487 0.234
.11105  5.429 0.249
.11115  5.199 0.257
.11125  5.009 0.231
.11135  4.846 0.264
.11145  4.589 0.246
.11155  5.173 0.292
.11165  5.198 0.252
.11175  5.142 0.216
.11185  5.210 0.223
.11195  5.033 0.257
.11205  5.045 0.250
.11215  5.329 0.241
.11225  4.911 0.250
.11235  5.260 0.204
.11245  4.767 0.221
.11255  5.185 0.225
.11265  4.493 0.227
.11275  5.176 0.232
.11285  5.108 0.211
.11295  5.125 0.245
.11305  4.791 0.214
.11315  4.825 0.260
.11325  4.483 0.215
.11335  4.883 0.221
.11345  4.764 0.256
.11355  4.703 0.214
.11365  4.647 0.229
.11375  4.816 0.224
.11385  4.451 0.243
.11395  4.504 0.194
.11405  4.616 0.219
.11415  4.381 0.212
.11425  4.450 0.201
.11435  4.673 0.207
.11445  4.580 0.205
.11455  4.649 0.210
.11465  5.141 0.207
.11475  4.658 0.171
.11485  4.748 0.190
.11495  4.833 0.223
.11505  4.499 0.198
.11515  4.683 0.203
.11525  4.812 0.241
.11535  4.962 0.230
.11545  4.242 0.217
.11555  4.946 0.195
.11565  4.863 0.208
.11575  4.756 0.198
.11585  4.809 0.223
.11595  4.409 0.204
.11605  4.708 0.193
.11615  4.918 0.206
.11625  4.830 0.199
.11635  4.930 0.232
.11645  4.979 0.214
.11655  4.993 0.252
.11665  5.002 0.264
.11675  5.220 0.256
.11685  5.131 0.244
.11695  5.384 0.243
.11705  5.254 0.224
.11715  5.689 0.205
.11725  5.621 0.246
.11735  5.918 0.219
.11745  6.005 0.202
.11755  6.323 0.227
.11765  6.237 0.224
.11775  5.809 0.215
.11785  5.861 0.199
.11795  6.002 0.223
.11805  5.647 0.239
.11815  5.666 0.225
.11825  5.592 0.241
.11835  6.138 0.215
.11845  6.529 0.231
.11855  6.031 0.227
.11865  6.146 0.223
.11875  6.339 0.269
.11885  7.218 0.281
.11895  6.843 0.241
.11905  7.202 0.240
.11915  7.215 0.265
.11925  8.246 0.281
.11935  7.553 0.285
.11945  7.488 0.306
.11955  7.805 0.322
.11965  8.783 0.301
.11975  8.650 0.289
.11985  8.587 0.270
.11995  9.044 0.311
.12005  9.616 0.301
.12015 10.392 0.293
.12025 10.559 0.383
.12035 10.464 0.380
.12045 11.197 0.353
.12055 11.796 0.359
.12065 12.736 0.468
.12075 13.426 0.413
.12085 13.431 0.510
.12095 14.849 0.484
.12105 15.531 0.602
.12115 16.568 0.753
.12125 18.324 0.966
.12135 19.956 1.090
.12145 20.737 1.143
.12155 21.601 1.139
.12165 21.445 1.062
.12175 19.567 0.931
.12185 18.526 0.765
.12195 18.458 0.597
.12205 17.270 0.511
.12215 16.800 0.474
.12225 15.866 0.440
.12235 15.513 0.371
.12245 14.759 0.336
.12255 14.391 0.298
.12265 14.168 0.280
.12275 13.980 0.285
.12285 13.905 0.264
.12295 13.322 0.274
.12305 13.222 0.262
.12315 13.100 0.257
.12325 12.891 0.260
.12335 13.020 0.274
.12345 13.036 0.232
.12355 13.083 0.233
.12365 13.174 0.236
.12375 12.892 0.247
.12385 13.159 0.246
.12395 13.209 0.231
.12405 12.793 0.219
.12415 12.525 0.219
.12425 12.306 0.194
.12435 11.677 0.187
.12445 11.231 0.179
.12455 10.620 0.170
.12465 10.219 0.163
.12475 10.015 0.157
.12485  9.726 0.138
.12495  9.388 0.133
.12505  9.352 0.118
.12515  9.259 0.125
.12525  8.898 0.120
.12535  8.728 0.118
.12545  8.845 0.109
.12555  8.426 0.102
.12565  8.516 0.112
.12575  8.353 0.111
.12585  8.249 0.119
.12595  8.229 0.098
.12605  8.217 0.110
.12615  7.958 0.107
.12625  8.044 0.111
.12635  8.032 0.096
.12645  7.920 0.105
.12655  7.694 0.111
.12665  7.677 0.099
.12675  7.611 0.108
.12685  7.557 0.099
.12695  7.263 0.096
.12705  7.246 0.092
.12715  7.008 0.092
.12725  6.929 0.091
.12735  6.853 0.089
.12745  6.650 0.100
.12755  6.670 0.086
.12765  6.576 0.091
.12775  6.569 0.091
.12785  6.544 0.090
.12795  6.543 0.087
.12805  6.395 0.080
.12815  6.401 0.086
.12825  6.360 0.079
.12835  6.365 0.086
.12845  6.313 0.077
.12855  6.358 0.082
.12865  6.235 0.081
.12875  6.281 0.083
.12885  6.330 0.074
.12895  6.271 0.075
.12905  6.312 0.077
.12915  6.250 0.075
.12925  6.476 0.071
.12935  6.447 0.068
.12945  6.454 0.072
.12955  6.503 0.073
.12965  6.532 0.069
.12975  6.632 0.071
.12985  6.638 0.078
.12995  6.716 0.079
.13005  6.683 0.079
.13015  6.819 0.074
.13025  6.925 0.078
.13035  6.858 0.076
.13045  6.891 0.084
.13055  6.938 0.070
.13065  6.949 0.082
.13075  6.846 0.070
.13085  6.818 0.073
.13095  6.797 0.077
.13105  6.803 0.081
.13115  6.719 0.072
.13125  6.525 0.067
.13135  6.401 0.066
.13145  6.486 0.073
.13155  6.176 0.071
.13165  6.258 0.070
.13175  6.130 0.073
.13185  6.041 0.065
.13195  6.089 0.066
.13205  6.094 0.065
.13215  6.033 0.070
.13225  6.109 0.066
.13235  6.137 0.067
.13245  6.061 0.063
.13255  6.060 0.069
.13265  6.028 0.065
.13275  5.969 0.063
.13285  6.143 0.063
.13295  6.168 0.065
.13305  6.174 0.061
.13315  6.294 0.060
.13325  6.262 0.060
.13335  6.275 0.059
.13345  6.389 0.062
.13355  6.335 0.066
.13365  6.320 0.065
.13375  6.445 0.065
.13385  6.364 0.062
.13395  6.276 0.072
.13405  6.305 0.067
.13415  6.088 0.062
.13425  6.138 0.064
.13435  6.125 0.066
.13445  6.107 0.063
.13455  6.063 0.068
.13465  5.962 0.064
.13475  6.091 0.063
.13485  5.974 0.062
.13495  5.996 0.064
.13505  6.011 0.062
.13515  5.928 0.061
.13525  5.894 0.059
.13535  5.831 0.059
.13545  5.852 0.058
.13555  5.825 0.056
.13565  5.883 0.059
.13575  5.914 0.060
.13585  5.930 0.057
.13595  5.869 0.059
.13605  5.884 0.059
.13615  5.879 0.059
.13625  5.955 0.060
.13635  5.939 0.059
.13645  6.007 0.059
.13655  5.934 0.060
.13665  5.902 0.061
.13675  6.098 0.057
.13685  6.020 0.059
.13695  6.079 0.059
.13705  5.934 0.056
.13715  6.007 0.053
.13725  6.102 0.059
.13735  6.009 0.058
.13745  6.103 0.059
.13755  6.146 0.058
.13765  6.037 0.063
.13775  6.118 0.063
.13785  6.238 0.059
.13795  6.274 0.059
.13805  6.246 0.056
.13815  6.330 0.056
.13825  6.347 0.059
.13835  6.489 0.061
.13845  6.532 0.058
.13855  6.533 0.056
.13865  6.702 0.064
.13875  6.742 0.063
.13885  6.744 0.057
.13895  6.978 0.059
.13905  7.007 0.060
.13915  7.104 0.055
.13925  7.146 0.063
.13935  7.179 0.060
.13945  7.223 0.057
.13955  7.236 0.061
.13965  7.221 0.059
.13975  7.236 0.059
.13985  7.211 0.057
.13995  7.260 0.060
.14005  7.370 0.058
.14015  7.302 0.063
.14025  7.239 0.060
.14035  7.095 0.056
.14045  7.073 0.058
.14055  6.913 0.057
.14065  6.745 0.055
.14075  6.650 0.056
.14085  6.571 0.059
.14095  6.458 0.052
.14105  6.394 0.051
.14115  6.293 0.050
.14125  6.221 0.051
.14135  6.228 0.051
.14145  6.126 0.051
.14155  6.083 0.051
.14165  5.961 0.051
.14175  5.862 0.049
.14185  5.945 0.049
.14195  5.885 0.047
.14205  5.869 0.047
.14215  5.784 0.047
.14225  5.771 0.051
.14235  5.724 0.047
.14245  5.694 0.045
.14255  5.723 0.050
.14265  5.649 0.048
.14275  5.660 0.048
.14285  5.651 0.044
.14295  5.578 0.046
.14305  5.560 0.046
.14315  5.560 0.048
.14325  5.518 0.050
.14335  5.536 0.047
.14345  5.499 0.044
.14355  5.515 0.045
.14365  5.467 0.044
.14375  5.447 0.048
.14385  5.488 0.045
.14395  5.406 0.046
.14405  5.447 0.044
.14415  5.405 0.044
.14425  5.430 0.044
.14435  5.422 0.043
.14445  5.333 0.046
.14455  5.349 0.045
.14465  5.397 0.045
.14475  5.371 0.044
.14485  5.332 0.044
.14495  5.198 0.044
.14505  5.276 0.045
.14515  5.324 0.042
.14525  5.326 0.044
.14535  5.318 0.042
.14545  5.290 0.042
.14555  5.349 0.043
.14565  5.368 0.042
.14575  5.302 0.042
.14585  5.306 0.043
.14595  5.286 0.043
.14605  5.384 0.044
.14615  5.390 0.043
.14625  5.380 0.043
.14635  5.377 0.043
.14645  5.372 0.040
.14655  5.292 0.041
.14665  5.290 0.042
.14675  5.310 0.042
.14685  5.317 0.041
.14695  5.338 0.043
.14705  5.385 0.044
.14715  5.394 0.042
.14725  5.441 0.043
.14735  5.312 0.041
.14745  5.349 0.040
.14755  5.410 0.042
.14765  5.339 0.042
.14775  5.366 0.040
.14785  5.428 0.040
.14795  5.369 0.043
.14805  5.443 0.040
.14815  5.448 0.041
.14825  5.404 0.041
.14835  5.469 0.042
.14845  5.522 0.042
.14855  5.437 0.041
.14865  5.507 0.037
.14875  5.538 0.041
.14885  5.568 0.042
.14895  5.559 0.040
.14905  5.517 0.039
.14915  5.542 0.038
.14925  5.546 0.039
.14935  5.533 0.037
.14945  5.542 0.036
.14955  5.553 0.039
.14965  5.622 0.042
.14975  5.681 0.039
.14985  5.619 0.041
.14995  5.649 0.039
.15005  5.596 0.040
.15015  5.636 0.044
.15025  5.616 0.042
.15035  5.695 0.038
.15045  5.683 0.042
.15055  5.644 0.042
.15065  5.689 0.042
.15075  5.780 0.039
.15085  5.756 0.039
.15095  5.837 0.044
.15105  5.790 0.040
.15115  5.884 0.042
.15125  5.910 0.043
.15135  5.925 0.042
.15145  5.942 0.043
.15155  6.041 0.042
.15165  6.061 0.041
.15175  6.161 0.043
.15185  6.180 0.042
.15195  6.297 0.042
.15205  6.367 0.045
.15215  6.411 0.042
.15225  6.494 0.045
.15235  6.599 0.043
.15245  6.766 0.045
.15255  6.838 0.044
.15265  6.977 0.045
.15275  7.064 0.048
.15285  7.188 0.047
.15295  7.309 0.049
.15305  7.413 0.051
.15315  7.522 0.051
.15325  7.654 0.053
.15335  7.799 0.055
.15345  8.003 0.055
.15355  8.075 0.057
.15365  8.312 0.061
.15375  8.453 0.065
.15385  8.623 0.067
.15395  8.735 0.071
.15405  9.104 0.073
.15415  9.202 0.075
.15425  9.378 0.082
.15435  9.666 0.087
.15445  9.797 0.093
.15455 10.008 0.090
.15465  9.969 0.101
.15475  9.889 0.107
.15485  9.890 0.104
.15495  9.857 0.098
.15505  9.577 0.097
.15515  9.286 0.090
.15525  8.997 0.081
.15535  8.677 0.074
.15545  8.351 0.069
.15555  8.165 0.062
.15565  7.953 0.059
.15575  7.664 0.057
.15585  7.409 0.051
.15595  7.251 0.051
.15605  7.153 0.047
.15615  6.987 0.046
.15625  6.883 0.047
.15635  6.773 0.043
.15645  6.678 0.042
.15655  6.529 0.042
.15665  6.485 0.042
.15675  6.384 0.040
.15685  6.232 0.038
.15695  6.177 0.038
.15705  6.163 0.038
.15715  6.077 0.037
.15725  6.069 0.035
.15735  5.962 0.037
.15745  5.899 0.035
.15755  5.917 0.034
.15765  5.812 0.035
.15775  5.823 0.034
.15785  5.781 0.032
.15795  5.720 0.033
.15805  5.699 0.032
.15815  5.659 0.033
.15825  5.658 0.032
.15835  5.618 0.031
.15845  5.586 0.035
.15855  5.584 0.033
.15865  5.580 0.032
.15875  5.563 0.031
.15885  5.508 0.032
.15895  5.488 0.030
.15905  5.505 0.030
.15915  5.491 0.032
.15925  5.486 0.031
.15935  5.480 0.032
.15945  5.424 0.030
.15955  5.449 0.030
.15965  5.446 0.031
.15975  5.474 0.029
.15985  5.403 0.029
.15995  5.424 0.028
.16005  5.439 0.030
.16015  5.404 0.029
.16025  5.388 0.029
.16035  5.403 0.029
.16045  5.439 0.030
.16055  5.399 0.028
.16065  5.405 0.029
.16075  5.403 0.029
.16085  5.366 0.029
.16095  5.353 0.030
.16105  5.395 0.029
.16115  5.384 0.029
.16125  5.401 0.028
.16135  5.388 0.028
.16145  5.414 0.028
.16155  5.371 0.027
.16165  5.406 0.029
.16175  5.349 0.027
.16185  5.346 0.030
.16195  5.371 0.027
.16205  5.330 0.028
.16215  5.394 0.028
.16225  5.385 0.027
.16235  5.353 0.029
.16245  5.365 0.028
.16255  5.336 0.028
.16265  5.347 0.028
.16275  5.372 0.027
.16285  5.418 0.029
.16295  5.384 0.028
.16305  5.426 0.027
.16315  5.417 0.029
.16325  5.451 0.028
.16335  5.422 0.029
.16345  5.448 0.027
.16355  5.467 0.029
.16365  5.459 0.027
.16375  5.455 0.028
.16385  5.472 0.028
.16395  5.447 0.028
.16405  5.413 0.028
.16415  5.414 0.027
.16425  5.359 0.027
.16435  5.313 0.026
.16445  5.256 0.025
.16455  5.210 0.026
.16465  5.170 0.025
.16475  5.174 0.025
.16485  5.191 0.026
.16495  5.158 0.025
.16505  5.158 0.025
.16515  5.113 0.026
.16525  5.115 0.025
.16535  5.119 0.024
.16545  5.138 0.026
.16555  5.163 0.026
.16565  5.153 0.026
.16575  5.138 0.026
.16585  5.146 0.025
.16595  5.118 0.026
.16605  5.128 0.025
.16615  5.133 0.025
.16625  5.138 0.024
.16635  5.142 0.024
.16645  5.117 0.024
.16655  5.093 0.024
.16665  5.084 0.024
.16675  5.064 0.025
.16685  5.012 0.026
.16695  5.009 0.024
.16705  5.006 0.025
.16715  4.941 0.025
.16725  4.921 0.025
.16735  4.891 0.023
.16745  4.865 0.025
.16755  4.823 0.024
.16765  4.813 0.024
.16775  4.776 0.024
.16785  4.751 0.025
.16795  4.761 0.024
.16805  4.713 0.022
.16815  4.717 0.023
.16825  4.664 0.025
.16835  4.653 0.024
.16845  4.592 0.024
.16855  4.570 0.025
.16865  4.606 0.022
.16875  4.609 0.023
.16885  4.561 0.024
.16895  4.603 0.024
.16905  4.578 0.023
.16915  4.595 0.023
.16925  4.552 0.023
.16935  4.530 0.023
.16945  4.567 0.023
.16955  4.526 0.024
.16965  4.537 0.023
.16975  4.555 0.024
.16985  4.547 0.024
.16995  4.577 0.023
.17005  4.571 0.024
.17015  4.493 0.023
.17025  4.552 0.023
.17035  4.498 0.023
.17045  4.573 0.022
.17055  4.555 0.023
.17065  4.565 0.022
.17075  4.588 0.023
.17085  4.603 0.023
.17095  4.570 0.023
.17105  4.596 0.023
.17115  4.588 0.023
.17125  4.617 0.023
.17135  4.585 0.022
.17145  4.619 0.023
.17155  4.604 0.023
.17165  4.594 0.024
.17175  4.595 0.022
.17185  4.620 0.023
.17195  4.583 0.021
.17205  4.590 0.022
.17215  4.605 0.022
.17225  4.605 0.023
.17235  4.556 0.023
.17245  4.557 0.022
.17255  4.567 0.021
.17265  4.612 0.021
.17275  4.553 0.022
.17285  4.602 0.022
.17295  4.563 0.023
.17305  4.538 0.022
.17315  4.588 0.021
.17325  4.561 0.022
.17335  4.527 0.021
.17345  4.518 0.022
.17355  4.546 0.020
.17365  4.508 0.021
.17375  4.522 0.021
.17385  4.551 0.021
.17395  4.573 0.022
.17405  4.564 0.021
.17415  4.553 0.022
.17425  4.597 0.020
.17435  4.585 0.021
.17445  4.613 0.020
.17455  4.606 0.021
.17465  4.601 0.019
.17475  4.611 0.020
.17485  4.630 0.019
.17495  4.611 0.020
.17505  4.574 0.020
.17515  4.578 0.020
.17525  4.560 0.020
.17535  4.524 0.019
.17545  4.506 0.021
.17555  4.516 0.019
.17565  4.460 0.019
.17575  4.479 0.020
.17585  4.458 0.019
.17595  4.426 0.019
.17605  4.424 0.019
.17615  4.411 0.019
.17625  4.395 0.020
.17635  4.405 0.020
.17645  4.379 0.020
.17655  4.364 0.020
.17665  4.344 0.019
.17675  4.353 0.019
.17685  4.363 0.019
.17695  4.339 0.018
.17705  4.383 0.019
.17715  4.338 0.020
.17725  4.313 0.019
.17735  4.344 0.019
.17745  4.348 0.019
.17755  4.323 0.019
.17765  4.327 0.020
.17775  4.339 0.019
.17785  4.312 0.019
.17795  4.314 0.019
.17805  4.353 0.018
.17815  4.331 0.019
.17825  4.316 0.019
.17835  4.321 0.018
.17845  4.321 0.019
.17855  4.353 0.018
.17865  4.347 0.018
.17875  4.348 0.018
.17885  4.379 0.018
.17895  4.316 0.018
.17905  4.322 0.019
.17915  4.304 0.018
.17925  4.288 0.019
.17935  4.273 0.018
.17945  4.249 0.019
.17955  4.230 0.019
.17965  4.237 0.018
.17975  4.235 0.019
.17985  4.231 0.019
.17995  4.236 0.019
.18005  4.198 0.017
.18015  4.204 0.018
.18025  4.201 0.019
.18035  4.194 0.018
.18045  4.216 0.018
.18055  4.225 0.018
.18065  4.217 0.018
.18075  4.210 0.018
.18085  4.208 0.018
.18095  4.211 0.018
.18105  4.201 0.019
.18115  4.191 0.018
.18125  4.211 0.018
.18135  4.222 0.018
.18145  4.201 0.018
.18155  4.207 0.017
.18165  4.235 0.017
.18175  4.220 0.018
.18185  4.197 0.018
.18195  4.198 0.017
.18205  4.212 0.018
.18215  4.207 0.018
.18225  4.190 0.018
.18235  4.177 0.018
.18245  4.175 0.018
.18255  4.168 0.018
.18265  4.153 0.018
.18275  4.142 0.018
.18285  4.148 0.017
.18295  4.139 0.017
.18305  4.149 0.018
.18315  4.161 0.018
.18325  4.138 0.018
.18335  4.175 0.018
.18345  4.161 0.018
.18355  4.189 0.017
.18365  4.175 0.018
.18375  4.201 0.018
.18385  4.206 0.018
.18395  4.200 0.018
.18405  4.233 0.018
.18415  4.243 0.019
.18425  4.253 0.019
.18435  4.252 0.018
.18445  4.270 0.019
.18455  4.293 0.018
.18465  4.293 0.019
.18475  4.330 0.018
.18485  4.345 0.018
.18495  4.354 0.018
.18505  4.375 0.018
.18515  4.383 0.019
.18525  4.423 0.018
.18535  4.441 0.018
.18545  4.456 0.018
.18555  4.458 0.018
.18565  4.499 0.019
.18575  4.466 0.018
.18585  4.500 0.018
.18595  4.486 0.018
.18605  4.466 0.018
.18615  4.463 0.019
.18625  4.476 0.018
.18635  4.512 0.019
.18645  4.477 0.018
.18655  4.469 0.019
.18665  4.505 0.019
.18675  4.486 0.019
.18685  4.466 0.019
.18695  4.464 0.019
.18705  4.445 0.018
.18715  4.435 0.018
.18725  4.468 0.019
.18735  4.483 0.018
.18745  4.497 0.018
.18755  4.518 0.018
.18765  4.528 0.018
.18775  4.507 0.018
.18785  4.573 0.018
.18795  4.590 0.018
.18805  4.605 0.018
.18815  4.638 0.019
.18825  4.712 0.018
.18835  4.715 0.019
.18845  4.783 0.019
.18855  4.835 0.018
.18865  4.891 0.019
.18875  4.931 0.020
.18885  4.970 0.020
.18895  5.051 0.020
.18905  5.093 0.020
.18915  5.140 0.020
.18925  5.198 0.020
.18935  5.227 0.021
.18945  5.254 0.020
.18955  5.276 0.021
.18965  5.291 0.020
.18975  5.307 0.021
.18985  5.355 0.020
.18995  5.360 0.020
.19005  5.373 0.021
.19015  5.418 0.021
.19025  5.464 0.020
.19035  5.479 0.021
.19045  5.555 0.021
.19055  5.624 0.022
.19065  5.639 0.022
.19075  5.669 0.023
.19085  5.658 0.023
.19095  5.624 0.022
.19105  5.611 0.022
.19115  5.488 0.021
.19125  5.447 0.021
.19135  5.402 0.020
.19145  5.273 0.020
.19155  5.223 0.019
.19165  5.149 0.019
.19175  5.068 0.018
.19185  4.986 0.018
.19195  4.881 0.017
.19205  4.849 0.017
.19215  4.802 0.017
.19225  4.702 0.017
.19235  4.626 0.017
.19245  4.561 0.016
.19255  4.559 0.015
.19265  4.516 0.016
.19275  4.455 0.016
.19285  4.415 0.016
.19295  4.358 0.016
.19305  4.338 0.015
.19315  4.314 0.015
.19325  4.247 0.015
.19335  4.213 0.015
.19345  4.201 0.014
.19355  4.145 0.015
.19365  4.118 0.015
.19375  4.119 0.015
.19385  4.052 0.015
.19395  4.052 0.015
.19405  3.986 0.015
.19415  4.016 0.014
.19425  3.972 0.015
.19435  3.963 0.014
.19445  3.957 0.015
.19455  3.932 0.015
.19465  3.920 0.015
.19475  3.916 0.014
.19485  3.937 0.014
.19495  3.885 0.014
.19505  3.896 0.014
.19515  3.871 0.015
.19525  3.856 0.015
.19535  3.853 0.015
.19545  3.840 0.015
.19555  3.807 0.014
.19565  3.780 0.014
.19575  3.822 0.015
.19585  3.791 0.014
.19595  3.753 0.014
.19605  3.744 0.014
.19615  3.743 0.014
.19625  3.722 0.014
