Band,wavelength,efficiency
0,4.91,0.00000
0,4.92,0.103291011366871
0,4.9245,0.103328067268216
0,4.929,0.103309803019782
0,4.9335,0.103401017904595
0,4.938,0.103613470402258
0,4.9425,0.103840045190929
0,4.947,0.104128047841624
0,4.9515,0.104370765564554
0,4.956,0.104569998673934
0,4.9605,0.104616138201969
0,4.965,0.104649611522444
0,4.9695,0.104788600243914
0,4.974,0.104948946227657
0,4.9785,0.105041054539175
0,4.983,0.105112276462958
0,4.9875,0.10514179714861
0,4.992,0.105117772932438
0,4.9965,0.105215478521441
0,5.001,0.105439476311376
0,5.0055,0.105640909093152
0,5.01,0.10590138312569
0,5.0145,0.106133639935764
0,5.019,0.106323478921945
0,5.0235,0.106477595318973
0,5.028,0.106629979973449
0,5.0325,0.10674675319561
0,5.037,0.106833473611655
0,5.0415,0.10689795606417
0,5.046,0.106889448446783
0,5.0505,0.106882099542409
0,5.055,0.106865139893787
0,5.0595,0.107026676322309
0,5.064,0.10737273747151
0,5.0685,0.107660644466161
0,5.073,0.107872188440588
0,5.0775,0.108003880854778
0,5.082,0.108149820195941
0,5.0865,0.108343643131071
0,5.091,0.108370134200493
0,5.0955,0.108377570167989
0,5.1,0.108359409612123
0,5.1045,0.108303003756263
0,5.109,0.108252218248955
0,5.1135,0.108400355042415
0,5.118,0.108543183463393
0,5.1225,0.108636474911619
0,5.127,0.108857495717423
0,5.1315,0.10914449510939
0,5.136,0.109334866684603
0,5.1405,0.109352334498551
0,5.145,0.109399533854171
0,5.1495,0.109603424006063
0,5.154,0.109638297697125
0,5.1585,0.109634259070356
0,5.163,0.109626645859833
0,5.1675,0.109679380403496
0,5.172,0.109717866320983
0,5.1765,0.109761153034182
0,5.181,0.109719186847617
0,5.1855,0.109720486635641
0,5.19,0.109772506189259
0,5.1945,0.109821550363584
0,5.199,0.109874238551893
0,5.2035,0.110099462088641
0,5.208,0.110410975393321
0,5.2125,0.110621761612473
0,5.217,0.110592982705556
0,5.2215,0.110482384210951
0,5.226,0.110374898202081
0,5.2305,0.110524280769209
0,5.235,0.110696670234132
0,5.2395,0.110675983222883
0,5.244,0.110490556819834
0,5.2485,0.110282536029898
0,5.253,0.109716794811278
0,5.2575,0.109514095033304
0,5.262,0.109858460643753
0,5.2665,0.110357671699532
0,5.271,0.110754818943745
0,5.2755,0.110913547437725
0,5.28,0.110991582921093
0,5.2845,0.111172708246489
0,5.289,0.1114145245947
0,5.2935,0.111532124708847
0,5.298,0.111484780106059
0,5.3025,0.1114435203015
0,5.307,0.111491420442751
0,5.3115,0.11147210559411
0,5.316,0.111302781315966
0,5.3205,0.111130262075145
0,5.325,0.110972965274788
0,5.3295,0.11124790231456
0,5.334,0.111856287999362
0,5.3385,0.112414079370616
0,5.343,0.113031048853143
0,5.3475,0.113464708217702
0,5.352,0.113457807835196
0,5.3565,0.113447627361603
0,5.361,0.113282936596185
0,5.3655,0.112973795555349
0,5.37,0.112787581726472
0,5.3745,0.113068830376854
0,5.379,0.113472127161412
0,5.3835,0.113751928751025
0,5.388,0.114109000833573
0,5.3925,0.11447481691303
0,5.397,0.11488514680141
0,5.4015,0.115177392097993
0,5.406,0.115525288007634
0,5.4105,0.11608272604672
0,5.415,0.116683450959749
0,5.4195,0.116809769799591
0,5.424,0.116687595076261
0,5.4285,0.116767566918373
0,5.433,0.116993577709247
0,5.4375,0.117205925464225
0,5.442,0.117377523711933
0,5.4465,0.117488834218219
0,5.451,0.117447944197319
0,5.4555,0.117748801892911
0,5.46,0.118493800086767
0,5.4645,0.119154952196562
0,5.469,0.119308797336052
0,5.4735,0.119296605648171
0,5.478,0.119141620536682
0,5.4825,0.119135436393327
0,5.487,0.119536484383584
0,5.4915,0.120082505398831
0,5.496,0.120573350837292
0,5.5005,0.120797856912854
0,5.505,0.120930003430959
0,5.5095,0.121058246413718
0,5.514,0.121236029272629
0,5.5185,0.12155970499682
0,5.523,0.122053546748601
0,5.5275,0.122319594627024
0,5.532,0.122260465504197
0,5.5365,0.12200345444221
0,5.541,0.121904098088136
0,5.5455,0.12219840789539
0,5.55,0.122927157130312
0,5.5545,0.123372410785696
0,5.559,0.123860953681289
0,5.5635,0.124289828811251
0,5.568,0.124851631970827
0,5.5725,0.125126749477934
0,5.577,0.125110353723881
0,5.5815,0.12509003274505
0,5.586,0.125138029300554
0,5.5905,0.125183418138191
0,5.595,0.12528170514233
0,5.5995,0.125355366010364
0,5.604,0.125365363937939
0,5.6085,0.125083186430031
0,5.613,0.124499521322064
0,5.6175,0.124265960352414
0,5.622,0.124487869121815
0,5.6265,0.124967787841277
0,5.631,0.125727115876861
0,5.6355,0.126303546903046
0,5.64,0.126744989947995
0,5.6445,0.12692161602316
0,5.649,0.127090287604094
0,5.6535,0.126965801482408
0,5.658,0.126518510596806
0,5.6625,0.125867427620954
0,5.667,0.125697514525163
0,5.6715,0.126079508351731
0,5.676,0.126858421352431
0,5.6805,0.127287920416478
0,5.685,0.127710089991591
0,5.6895,0.127925273877756
0,5.694,0.127984433183452
0,5.6985,0.127889833310293
0,5.703,0.127975689305213
0,5.7075,0.128379692665163
0,5.712,0.128646764257518
0,5.7165,0.128100946346968
0,5.721,0.126717019227173
0,5.7255,0.126427271522064
0,5.73,0.12721875221652
0,5.7345,0.128013891016622
0,5.739,0.128648744754791
0,5.7435,0.128879553889993
0,5.748,0.128777124872021
0,5.7525,0.128418563667297
0,5.757,0.128457911618617
0,5.7615,0.128845621013522
0,5.766,0.129622667500552
0,5.7705,0.129444083986652
0,5.775,0.128488585360485
0,5.7795,0.127468416893358
0,5.784,0.126669712939881
0,5.7885,0.126612477800761
0,5.793,0.127042578027643
0,5.7975,0.127798050027826
0,5.802,0.128570731715625
0,5.8065,0.128898003829625
0,5.811,0.129523976483583
0,5.8155,0.13007482105186
0,5.82,0.130826822433687
0,5.83,0.00000
1,5.67,0.00000
1,5.68,0.126267784556193
1,5.68525,0.127533290982345
1,5.6905,0.128189470817944
1,5.69575,0.128250371031901
1,5.701,0.128059289365405
1,5.70625,0.128379387386217
1,5.7115,0.128343095905359
1,5.71675,0.126565968791836
1,5.722,0.123779918298664
1,5.72725,0.124328468160546
1,5.7325,0.126973532965935
1,5.73775,0.128770786566379
1,5.743,0.129742611270533
1,5.74825,0.129698509572547
1,5.7535,0.128695583833638
1,5.75875,0.128347634277559
1,5.764,0.128632835746363
1,5.76925,0.129048338961346
1,5.7745,0.127863825253208
1,5.77975,0.125900609273698
1,5.785,0.124625800847943
1,5.79025,0.125672362677375
1,5.7955,0.127967219323806
1,5.80075,0.130079402304839
1,5.806,0.131086501537565
1,5.81125,0.131443063349181
1,5.8165,0.131673334412622
1,5.82175,0.132037899716412
1,5.827,0.130821316394865
1,5.83225,0.129610441244464
1,5.8375,0.129470503494769
1,5.84275,0.130488220757037
1,5.848,0.13176943080309
1,5.85325,0.133405149167661
1,5.8585,0.134447032064667
1,5.86375,0.13465820744496
1,5.869,0.134903688247358
1,5.87425,0.135021900352456
1,5.8795,0.134624149390334
1,5.88475,0.135094309694018
1,5.89,0.136958583023427
1,5.89525,0.137809134066607
1,5.9005,0.13768399482147
1,5.90575,0.13699490801506
1,5.911,0.136828882904102
1,5.91625,0.137501970607263
1,5.9215,0.138520887004887
1,5.92675,0.138863332043781
1,5.932,0.13869237288139
1,5.93725,0.136904736678417
1,5.9425,0.135574065224607
1,5.94775,0.135823391897115
1,5.953,0.136389073829503
1,5.95825,0.135432156311363
1,5.9635,0.135025773707036
1,5.96875,0.136641475673565
1,5.974,0.139912487444439
1,5.97925,0.141374397621794
1,5.9845,0.142165314926777
1,5.98975,0.142155345428988
1,5.995,0.140200051192347
1,6.00025,0.138183556830663
1,6.0055,0.137586512830701
1,6.01075,0.139273355478652
1,6.016,0.141679672031908
1,6.02125,0.142115921666252
1,6.0265,0.14186632604663
1,6.03175,0.141118024924879
1,6.037,0.142267731211445
1,6.04225,0.143427232612954
1,6.0475,0.143881264934529
1,6.05275,0.142578112575955
1,6.058,0.141741686892892
1,6.06325,0.141812765145552
1,6.0685,0.142050027844829
1,6.07375,0.141777329342108
1,6.079,0.141237969257781
1,6.08425,0.141571475484776
1,6.0895,0.141537384064241
1,6.09475,0.141967664800592
1,6.1,0.142302129480585
1,6.10525,0.142467349459126
1,6.1105,0.14233274252835
1,6.11575,0.142494621344885
1,6.121,0.142494316331859
1,6.12625,0.141926118607871
1,6.1315,0.141416609988407
1,6.13675,0.141234108059503
1,6.142,0.141695776562273
1,6.14725,0.141747938108769
1,6.1525,0.1415145556588
1,6.15775,0.141226409472242
1,6.163,0.141150331682259
1,6.16825,0.141257211708486
1,6.1735,0.141360047975028
1,6.17875,0.14146337869208
1,6.184,0.141393828568217
1,6.18925,0.141190441491813
1,6.1945,0.140882356317602
1,6.19975,0.140641883918091
1,6.205,0.140406496683503
1,6.21025,0.140152589176863
1,6.2155,0.139680181455517
1,6.22075,0.138842183991811
1,6.226,0.137258153238714
1,6.23125,0.136119859119938
1,6.2365,0.136056174565757
1,6.24175,0.136863320131569
1,6.247,0.137377150466806
1,6.25225,0.136876056696642
1,6.2575,0.13637178162424
1,6.26275,0.136337526665209
1,6.268,0.136670266865707
1,6.27325,0.136935310984477
1,6.2785,0.136840926407747
1,6.28375,0.13645130888818
1,6.289,0.136069031783624
1,6.29425,0.135174128431847
1,6.2995,0.132949985285185
1,6.30475,0.131016835976449
1,6.31,0.131518946797818
1,6.31525,0.132791047321087
1,6.3205,0.133834047095386
1,6.32575,0.135104617376762
1,6.331,0.136265048024656
1,6.33625,0.136876770331536
1,6.3415,0.137214571991977
1,6.34675,0.13733502579401
1,6.352,0.136480270835876
1,6.35725,0.135157062575651
1,6.3625,0.132670496814397
1,6.36775,0.130306456499063
1,6.373,0.128998702269106
1,6.37825,0.130954616114385
1,6.3835,0.133972776894129
1,6.38875,0.135926280508772
1,6.394,0.136863706854448
